0,0,0,0.002490297
20,0,0,0.003271547
40,0.027547053,0.027408215,0.036677087
60,0.064219267,0.064617578,0.081207561
80,0.063777769,0.063921726,0.083148734
100,0.101843896,0.102338689,0.097600803
120,0.084382963,0.084871379,0.074224305
140,0.046589702,0.046684559,0.044031335
160,0.037938441,0.037948501,0.036086493
180,0.045138015,0.044795749,0.039061928
200,0.053946686,0.053116677,0.047500213
220,0.075635457,0.074137727,0.068567679
240,0.051811584,0.051306688,0.05608925
260,0.038918011,0.038962102,0.045750373
280,0.048384406,0.04852634,0.052821962
300,0.071970152,0.072262769,0.066146769
320,0.151575614,0.152815069,0.131535109
340,0.036320985,0.036286233,0.033788557
